customer_id,customer_name,segment,country,signup_date,email
10066,Customer 10066,B2C,Germany,2024-09-06,customer10066@example.com
10067,Customer 10067,B2C,Switzerland,2025-11-04,customer10067@example.com
10068,Customer 10068,B2B,Switzerland,2025-03-13,customer10068@example.com
10069,Customer 10069,B2C,Switzerland,2024-04-27,customer10069@example.com
10070,Customer 10070,VIP,Switzerland,2024-11-01,customer10070@example.com
10071,Customer 10071,B2B,Switzerland,2024-09-24,customer10071@example.com
10072,Customer 10072,B2C,Germany,2024-02-23,customer10072@example.com
10073,Customer 10073,B2C,Germany,2024-08-23,customer10073@example.com
10074,Customer 10074,B2B,Switzerland,2025-01-23,customer10074@example.com
10075,Customer 10075,B2B,Austria,2026-01-03,customer10075@example.com
10076,Customer 10076,B2B,Germany,2025-02-04,customer10076@example.com
10077,Customer 10077,B2B,Switzerland,2025-09-15,customer10077@example.com
10078,Customer 10078,B2C,Switzerland,2024-10-29,customer10078@example.com
10079,Customer 10079,B2C,Switzerland,2024-07-25,customer10079@example.com
10080,Customer 10080,B2C,Switzerland,2024-08-16,
10081,Customer 10081,B2B,Switzerland,2025-07-31,customer10081@example.com
10082,Customer 10082,B2C,France,2024-03-15,customer10082@example.com
10083,Customer 10083,B2C,Switzerland,2025-03-10,customer10083@example.com
10084,Customer 10084,B2C,Switzerland,2024-04-12,customer10084@example.com
10085,Customer 10085,B2C,Switzerland,2025-02-25,customer10085@example.com
10086,Customer 10086,B2C,Switzerland,2025-12-04,customer10086@example.com
10087,Customer 10087,B2B,Italy,2026-01-07,customer10087@example.com
10088,Customer 10088,B2C,Germany,2024-11-01,customer10088@example.com
10089,Customer 10089,B2B,Switzerland,2024-04-07,customer10089@example.com
10090,Customer 10090,B2C,Switzerland,2024-11-30,customer10090@example.com
10091,Customer 10091,B2C,Switzerland,2025-03-10,customer10091@example.com
10092,Customer 10092,B2B,Switzerland,2025-03-22,customer10092@example.com
10093,Customer 10093,B2B,Switzerland,2024-11-03,customer10093@example.com
10094,Customer 10094,B2C,Switzerland,2024-09-05,customer10094@example.com
10095,Customer 10095,B2B,Switzerland,2024-06-14,customer10095@example.com
10096,Customer 10096,B2C,Switzerland,2025-04-25,customer10096@example.com
10097,Customer 10097,B2C,Germany,2024-11-30,customer10097@example.com
10098,Customer 10098,B2C,Switzerland,2025-06-25,customer10098@example.com
10099,Customer 10099,B2C,Switzerland,2026-01-28,customer10099@example.com
10100,Customer 10100,B2C,Germany,2024-04-15,
10101,Customer 10101,B2C,Switzerland,2025-07-16,customer10101@example.com
10102,Customer 10102,B2C,Italy,2024-03-21,customer10102@example.com
10103,Customer 10103,B2C,Germany,2024-05-12,customer10103@example.com
10104,Customer 10104,B2C,Switzerland,2024-05-17,customer10104@example.com
10105,Customer 10105,VIP,Switzerland,2024-07-02,customer10105@example.com
10106,Customer 10106,B2C,Germany,2025-02-04,customer10106@example.com
10107,Customer 10107,b2c,Switzerland,2024-11-25,
10108,Customer 10108,B2B,Switzerland,2025-05-22,customer10108@example.com
10109,Customer 10109,B2C,Austria,2024-03-09,customer10109@example.com
10110,Customer 10110,B2C,Switzerland,2025-06-29,customer10110@example.com
10111,Customer 10111,B2C,Switzerland,2024-02-22,customer10111@example.com
10112,Customer 10112,B2C,Germany,2025-03-25,customer10112@example.com
10113,Customer 10113,VIP,Switzerland,2024-07-23,customer10113@example.com
10114,Customer 10114,B2B,Switzerland,2024-05-05,customer10114@example.com
10115,Customer 10115,B2C,Austria,2026-01-16,customer10115@example.com
10116,Customer 10116,B2B,Switzerland,2024-02-12,customer10116@example.com
10117,Customer 10117,B2B,Austria,2026-01-21,customer10117@example.com
10118,Customer 10118,B2C,Italy,2024-04-20,customer10118@example.com
10119,Customer 10119,B2B,Switzerland,2025-10-24,customer10119@example.com
10120,Customer 10120,B2C,Switzerland,2024-07-01,customer10120@example.com
10121,Customer 10121,B2B,Switzerland,2024-04-04,customer10121@example.com
10122,Customer 10122,B2B,Switzerland,2025-01-08,customer10122@example.com
10123,Customer 10123,B2C,Switzerland,2025-06-03,customer10123@example.com
10124,Customer 10124,B2C,Germany,2024-12-25,customer10124@example.com
10125,Customer 10125,B2C,Switzerland,2025-11-26,customer10125@example.com
10126,Customer 10126,B2C,Switzerland,2024-10-07,customer10126@example.com
10127,Customer 10127,B2B,Italy,2024-07-13,customer10127@example.com
10128,Customer 10128,B2B,Switzerland,2024-07-13,customer10128@example.com
10129,Customer 10129,B2C,France,2025-10-28,customer10129@example.com
10130,Customer 10130,B2C,Switzerland,2024-04-02,customer10130@example.com
10131,Customer 10131,B2C,Switzerland,2025-11-02,customer10131@example.com
10132,Customer 10132,B2C,Germany,2024-03-01,customer10132@example.com
10133,Customer 10133,B2C,Germany,2025-09-25,customer10133@example.com
10134,Customer 10134,B2C,Italy,2024-02-20,customer10134@example.com
10135,Customer 10135,VIP,Germany,2025-02-06,customer10135@example.com
10136,Customer 10136,B2C,France,2024-01-05,customer10136@example.com
10137,Customer 10137,B2C,Switzerland,2025-04-10,
10138,Customer 10138,B2B,Switzerland,2025-08-26,customer10138@example.com
10139,Customer 10139,B2C,France,2025-11-12,customer10139@example.com
10140,Customer 10140,VIP,France,2025-06-17,customer10140@example.com
10141,Customer 10141,VIP,Austria,2025-02-08,customer10141@example.com
10142,Customer 10142,B2C,Switzerland,2025-05-27,customer10142@example.com
10143,Customer 10143,B2C,Switzerland,2025-10-06,customer10143@example.com
10144,Customer 10144,B2C,France,2024-08-20,customer10144@example.com
10145,Customer 10145,B2C,Switzerland,2025-06-07,customer10145@example.com
10146,Customer 10146,B2C,Austria,2024-12-11,customer10146@example.com
10147,Customer 10147,B2C,Italy,2024-02-15,customer10147@example.com
10148,Customer 10148,B2C,Switzerland,2025-06-29,customer10148@example.com
10149,Customer 10149,B2C,France,2024-03-18,customer10149@example.com
10150,Customer 10150,B2C,France,2025-12-30,customer10150@example.com
10151,Customer 10151,VIP,Switzerland,2024-03-13,customer10151@example.com
10152,Customer 10152,B2C,Italy,2024-09-05,customer10152@example.com
10153,Customer 10153,B2C,Switzerland,2024-02-16,customer10153@example.com
10154,Customer 10154,B2C,France,2024-04-30,customer10154@example.com
10155,Customer 10155,VIP,Switzerland,2024-08-01,customer10155@example.com
10156,Customer 10156,B2C,Italy,2024-08-26,customer10156@example.com
10157,Customer 10157,B2C,Switzerland,2024-02-25,customer10157@example.com
10158,Customer 10158,B2B,Switzerland,2024-12-15,customer10158@example.com
10159,Customer 10159,B2C,Italy,2024-04-16,customer10159@example.com
10160,Customer 10160,B2B,Switzerland,2024-02-17,customer10160@example.com
10161,Customer 10161,B2C,Switzerland,2025-07-26,customer10161@example.com
10162,Customer 10162,B2C,Austria,2024-12-02,customer10162@example.com
10163,Customer 10163,B2C,Austria,2024-01-26,customer10163@example.com
10164,Customer 10164,B2C,Switzerland,2024-09-13,customer10164@example.com
10165,Customer 10165,B2C,Germany,2024-01-08,customer10165@example.com
10166,Customer 10166,B2B,Switzerland,2025-09-16,customer10166@example.com
10167,Customer 10167,B2C,Switzerland,2024-09-09,customer10167@example.com
10168,Customer 10168,B2C,Switzerland,2025-11-22,customer10168@example.com
10169,Customer 10169,B2C,Germany,2025-12-19,customer10169@example.com
10170,Customer 10170,B2C,France,2024-10-29,customer10170@example.com
10171,Customer 10171,B2C,France,2025-09-30,customer10171@example.com
10172,Customer 10172,B2C,France,2024-02-25,customer10172@example.com
10173,Customer 10173,B2C,Switzerland,2025-12-26,customer10173@example.com
10174,Customer 10174,B2C,Switzerland,2025-06-09,customer10174@example.com
10175,Customer 10175,B2C,Switzerland,2025-04-18,customer10175@example.com
10176,Customer 10176,B2C,Switzerland,2024-01-28,customer10176@example.com
10177,Customer 10177,B2B,Switzerland,2024-03-18,customer10177@example.com
10178,Customer 10178,B2C,Italy,2024-08-03,customer10178@example.com
10179,Customer 10179,VIP,Switzerland,2025-01-20,customer10179@example.com
10180,Customer 10180,B2C,Switzerland,2024-12-30,customer10180@example.com
10181,Customer 10181,B2C,Switzerland,2025-10-27,customer10181@example.com
10182,Customer 10182,b2c,France,2025-06-09,customer10182@example.com
10183,Customer 10183,VIP,Switzerland,2025-11-29,customer10183@example.com
10184,Customer 10184,B2B,Switzerland,2024-11-07,customer10184@example.com
10185,Customer 10185,B2C,Switzerland,2024-01-07,customer10185@example.com
10186,Customer 10186,B2C,Germany,2024-01-03,customer10186@example.com
10187,Customer 10187,B2B,Switzerland,2025-09-14,customer10187@example.com
10188,Customer 10188,B2C,France,2026-01-19,customer10188@example.com
10189,Customer 10189,B2C,Germany,2024-12-28,customer10189@example.com
10190,Customer 10190,B2C,Switzerland,2026-01-20,customer10190@example.com
10191,Customer 10191,B2C,Switzerland,2025-05-22,customer10191@example.com
10192,Customer 10192,B2B,Austria,2024-09-30,customer10192@example.com
10193,Customer 10193,VIP,Switzerland,2025-05-20,customer10193@example.com
10194,Customer 10194,B2C,Switzerland,2026-01-08,customer10194@example.com
10195,Customer 10195,B2C,France,2024-01-15,customer10195@example.com
10196,Customer 10196,B2C,Austria,2024-07-10,customer10196@example.com
10197,Customer 10197,B2B,Austria,2025-09-22,customer10197@example.com
10198,Customer 10198,B2B,France,2025-04-29,customer10198@example.com
10199,Customer 10199,B2B,Switzerland,2024-01-28,customer10199@example.com
10200,Customer 10200,B2B,Switzerland,2025-12-14,customer10200@example.com
10201,Customer 10201,B2C,France,2024-02-08,customer10201@example.com
10202,Customer 10202,B2C,Switzerland,2024-09-29,customer10202@example.com
10203,Customer 10203,B2C,Switzerland,2024-08-18,customer10203@example.com
10204,Customer 10204,B2B,Italy,2024-03-26,customer10204@example.com
10205,Customer 10205,B2C,Switzerland,2025-04-18,customer10205@example.com
10206,Customer 10206,B2C,Switzerland,2024-05-05,customer10206@example.com
10207,Customer 10207,B2C,Switzerland,2025-06-20,customer10207@example.com
10208,Customer 10208,B2C,Switzerland,2024-05-24,customer10208@example.com
10209,Customer 10209,B2C,Switzerland,2025-06-08,customer10209@example.com
10210,Customer 10210,B2C,Switzerland,2024-07-30,customer10210@example.com
10211,Customer 10211,B2C,Switzerland,2024-01-25,customer10211@example.com
10212,Customer 10212,B2B,Germany,2025-08-02,customer10212@example.com
10213,Customer 10213,B2C,France,2025-01-28,customer10213@example.com
10214,Customer 10214,B2C,Switzerland,2024-03-07,customer10214@example.com
10215,Customer 10215,B2B,Austria,2024-08-20,customer10215@example.com
10216,Customer 10216,B2C,Switzerland,2024-04-18,customer10216@example.com
10217,Customer 10217,b2c,Switzerland,2024-05-25,customer10217@example.com
10218,Customer 10218,B2B,Italy,2024-04-20,customer10218@example.com
10219,Customer 10219,B2C,Switzerland,2024-08-15,customer10219@example.com
10220,Customer 10220,B2B,Austria,2024-04-20,customer10220@example.com
10221,Customer 10221,B2C,Switzerland,2025-04-14,customer10221@example.com
10222,Customer 10222,B2C,Austria,2024-02-03,customer10222@example.com
10223,Customer 10223,B2C,Switzerland,2025-09-14,customer10223@example.com
10224,Customer 10224,B2C,Italy,2025-01-03,customer10224@example.com
10225,Customer 10225,B2C,Switzerland,2026-01-17,customer10225@example.com
10226,Customer 10226,B2C,Austria,2025-08-17,customer10226@example.com
10227,Customer 10227,VIP,Switzerland,2025-07-07,customer10227@example.com
10228,Customer 10228,B2C,Switzerland,2025-02-28,customer10228@example.com
10229,Customer 10229,B2B,Austria,2025-09-04,customer10229@example.com
10230,Customer 10230,B2C,Switzerland,2025-06-01,customer10230@example.com
10231,Customer 10231,B2B,Germany,2025-11-22,customer10231@example.com
10232,Customer 10232,B2C,Germany,2024-10-08,customer10232@example.com
10233,Customer 10233,B2C,Switzerland,2024-11-15,customer10233@example.com
10234,Customer 10234,B2C,Germany,2026-01-07,customer10234@example.com
10235,Customer 10235,B2C,Switzerland,2025-03-18,customer10235@example.com
10236,Customer 10236,B2B,Italy,2024-11-10,customer10236@example.com
10237,Customer 10237,B2C,Switzerland,2026-01-10,customer10237@example.com
10238,Customer 10238,B2C,Switzerland,2025-01-11,customer10238@example.com
10239,Customer 10239,B2C,Austria,2024-10-15,customer10239@example.com
10240,Customer 10240,B2C,Italy,2025-03-12,customer10240@example.com
10241,Customer 10241,VIP,Switzerland,2025-10-23,customer10241@example.com
10242,Customer 10242,VIP,Germany,2024-10-03,customer10242@example.com
10243,Customer 10243,VIP,Switzerland,2025-12-10,customer10243@example.com
10244,Customer 10244,B2C,Switzerland,2025-08-04,customer10244@example.com
10245,Customer 10245,B2C,Switzerland,2025-05-17,customer10245@example.com
10246,Customer 10246,VIP,Switzerland,2025-09-15,customer10246@example.com
10247,Customer 10247,B2C,Switzerland,2025-05-30,customer10247@example.com
10248,Customer 10248,VIP,Switzerland,2024-12-15,customer10248@example.com
10249,Customer 10249,VIP,Austria,2025-03-21,customer10249@example.com
10250,Customer 10250,B2B,Austria,2024-12-15,customer10250@example.com
